val_loss	duration	params_dropout_rate	params_ffn_hidden_dim	params_ffn_layers	params_final_lr	params_init_lr	params_max_lr	params_mp_depth	params_mp_hidden_dim	params_warm_up_epochs
0.06470852345228195	0 days 01:33:03.128777	0.21202189425619306	1100	3	0.0001	0.0001	0.001	4	480	2
0.06474859267473221	0 days 02:19:41.516365	0.16165789507343842	1992	4	0.0001	0.0001	0.001	4	452	2
0.06498613208532333	0 days 01:57:35.928866	0.1905058829379624	1989	3	0.0001	0.0001	0.001	4	465	2
0.06511954218149185	0 days 01:15:23.651847	0.14150503886452104	1906	3	0.0001	0.0001	0.001	4	449	2
0.06517497450113297	0 days 01:30:29.081874	0.23312262677500634	1343	3	0.0001	0.0001	0.001	5	522	2
0.06557611376047134	0 days 01:21:30.913249	0.20527676612191162	1690	3	0.0001	0.0001	0.001	3	409	2
0.0656188577413559	0 days 01:05:44.034984	0.16255725022958592	1208	3	0.0001	0.0001	0.001	4	554	2
0.06611991673707962	0 days 01:34:59.585164	0.15401956154927673	1270	3	0.0001	0.0001	0.001	6	475	2
0.06620068103075027	0 days 00:47:30.946170	0.10162442980915913	1407	3	0.0001	0.0001	0.001	4	432	2
0.06636520475149155	0 days 01:10:24.579751	0.2805325346610118	1113	3	0.0001	0.0001	0.001	5	485	2
0.06652233004570007	0 days 01:47:51.534478	0.10113442912687959	1789	4	0.0001	0.0001	0.001	3	431	2
0.06652941554784775	0 days 02:19:37.864350	0.24391128905529802	1924	3	0.0001	0.0001	0.001	4	476	2
0.06677524745464325	0 days 01:09:05.387704	0.15238848617380668	1420	4	0.0001	0.0001	0.001	3	449	2
0.06679695844650269	0 days 00:54:17.628306	0.12478457083390311	1303	4	0.0001	0.0001	0.001	3	472	2
0.06691372394561768	0 days 00:51:25.728977	0.25699016562704535	1171	3	0.0001	0.0001	0.001	3	504	2
0.06695995479822159	0 days 01:10:16.849490	0.1694457833307423	1946	3	0.0001	0.0001	0.001	3	523	2
0.06750515848398209	0 days 01:02:34.803200	0.18645527138312512	1055	3	0.0001	0.0001	0.001	4	521	2
0.06760672479867935	0 days 00:55:55.873783	0.16898883734806064	1153	3	0.0001	0.0001	0.001	4	457	2
0.06796104460954666	0 days 01:09:33.860692	0.3164632528601102	1124	3	0.0001	0.0001	0.001	3	516	2
0.06809818744659424	0 days 01:46:43.039258	0.26607583595216167	1190	3	0.0001	0.0001	0.001	4	583	2
0.06863667815923691	0 days 01:23:26.357444	0.2816123405677633	1181	3	0.0001	0.0001	0.001	6	410	2
0.06929542124271393	0 days 01:22:24.659456	0.22661789556415077	1210	3	0.0001	0.0001	0.001	6	558	2
0.07033292949199677	0 days 01:36:42.327099	0.10380084289357407	1566	5	0.0001	0.0001	0.001	3	463	2
0.07034032791852951	0 days 01:34:21.894595	0.18077713091747033	1036	5	0.0001	0.0001	0.001	5	476	2
0.07059244811534882	0 days 03:22:03.814859	0.13128660066017667	1386	6	0.0001	0.0001	0.001	6	544	2
0.0707964152097702	0 days 02:12:12.620101	0.11578341129446201	1537	6	0.0001	0.0001	0.001	5	531	2
0.0717569962143898	0 days 03:19:22.021405	0.19710560905753624	1618	5	0.0001	0.0001	0.001	6	443	2
0.07176262885332108	0 days 01:08:27.149339	0.24203417339604946	1077	3	0.0001	0.0001	0.001	4	509	2
0.07190485298633575	0 days 01:30:49.946215	0.35577676294233596	1226	3	0.0001	0.0001	0.001	4	495	2
0.07224048674106598	0 days 01:03:09.918177	0.17401171191378642	1891	4	0.0001	0.0001	0.001	4	412	2
0.0748295709490776	0 days 01:14:34.231254	0.38194932913120133	1248	3	0.0001	0.0001	0.001	3	492	2
0.07602030038833618	0 days 01:50:36.606442	0.16330964019109687	1968	5	0.0001	0.0001	0.001	4	426	2
0.07849191129207611	0 days 01:10:47.432082	0.23114381959231	1486	4	0.0001	0.0001	0.001	5	508	2
0.07853525876998901	0 days 02:06:54.422791	0.25506077339706357	1696	5	0.0001	0.0001	0.001	5	418	2
0.07934488356113434	0 days 02:35:18.977322	0.13601016443130967	1654	6	0.0001	0.0001	0.001	4	428	2
0.07948105782270432	0 days 01:52:42.676938	0.2849361774601689	1847	5	0.0001	0.0001	0.001	5	400	2
0.08292417973279953	0 days 01:29:15.355813	0.3430597710033319	1876	4	0.0001	0.0001	0.001	4	485	2
0.0829993188381195	0 days 01:06:56.694610	0.1367059090133533	1804	5	0.0001	0.0001	0.001	4	436	2
0.09232873469591141	0 days 01:27:38.661591	0.11616168652238817	1849	6	0.0001	0.0001	0.001	4	543	2
0.09378944337368011	0 days 01:12:49.092811	0.33171017484940213	1745	5	0.0001	0.0001	0.001	3	569	2
0.09712977707386017	0 days 01:33:55.618205	0.47309390868123	1278	4	0.0001	0.0001	0.001	5	515	2
0.11032795161008835	0 days 00:29:24.513810	0.43293704175840964	1346	3	0.0001	0.0001	0.001	3	400	2
0.11316349357366562	0 days 01:21:59.872552	0.4750456630129898	1852	4	0.0001	0.0001	0.001	4	463	2
0.14208881556987762	0 days 03:13:58.921110	0.41112004994560036	1605	6	0.0001	0.0001	0.001	6	531	2
