cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n_molecules_test
cc_89	50.05890235900878	58.39044033836503	91.47912184721628	3.8113980781946695	27.828571811736897	4
cc_9	194.32825055803568	237.46434051859944	31.020411981775535	18.02005290782972	126.2320342635335	14
cc_90	237.3126647949219	308.639674107195	15.956459567924846	9.418514739999441	24.493084797405704	4
cc_91	148.9608123779297	160.43564665178195	15.391682277113613	10.922482209849663	20.109602705048673	4
cc_92	34.07092361450195	38.35874969295086	16.73993321351986	11.09079544742902	22.01149527073804	4
cc_93	90.60758819580076	93.10807262644144	15.732009891833536	13.55589290780981	21.89105559349713	4
cc_94	177.27017211914062	202.23939983519193	7.806900757741146	5.9125532692662475	11.715583799108593	4
cc_95	100.10645996093749	116.31143841922253	24.50945624515052	12.54655586816783	36.22599434966593	4
cc_96	15.818770345052078	18.631500508317846	8.346826615781906	6.525895356869668	10.085928554611122	3
cc_97	194.10256958007812	232.54016360592198	11.14370596630566	7.385942525878162	13.504721629128788	4
cc_98	257.7266528320312	303.9885573606264	108.63335539082959	26.352418489982746	55.16036681695759	5
cc_99	2186.80564453125	2425.074834604673	301.9069524519163	36.258218008543075	56.633507269058	5
